CandidateEnglish,Probability,Mentions,Avg_Sentiment,Raw_Score
Babu Kaji Karki,0.049416625183201,32,0.08864898619139559,0.39694754317693864
Jit Bahadur Tamang,0.0440679634893363,30,0.0587622450428182,0.3854921588993147
Keshav Nepal,0.04594578408276228,32,0.06784189611795761,0.38966506165123543
Kul Bahadur Lama,0.047958426949269016,32,0.08009116352058662,0.3939523052421555
Kulman Ghising,0.04614123492624786,32,0.06905473116451347,0.39008955391753
Madan Shrestha,0.0454582207390264,22,0.07900841837667592,0.38859822006367734
Niraj Lama,0.04582997452505266,32,0.06712082416770829,0.3894126864686482
Pradip Kaphle,0.05019121687510933,27,0.10020006073051917,0.3985028570765772
Pranil Dhwaj Karki,0.04485281398833164,28,0.06664896233924135,0.38725748507744095
Prem Chhiri Sherpa,0.043226929900893996,29,0.05467816954986324,0.38356522003896953
Raju Nath Pandey,0.04711184131112189,26,0.08353133299896258,0.3921712899327215
Ram Krishna Pujari,0.04332809053128313,18,0.07098212855581099,0.3837989688751308
Ramesh Aryal,0.04414126205801275,22,0.07060879379602597,0.38565835146044986
Rameshwar Phuyal,0.045155846747890235,26,0.0714157302138918,0.38793082895794667
Rup Sagar Devi,0.043031253506223444,20,0.06617506053447497,0.3831115199432852
Sajjan Acharya,0.046385124336397285,31,0.07198242226674215,0.390616733365499
Shekhar Aryal,0.04178984176647383,24,0.05212537914405651,0.3801841812078825
Shekhar Nath Acharya,0.046252977643852125,22,0.08396046545125263,0.3903314365397792
Shrikrishna Baral,0.04056445826542837,22,0.046465159066788934,0.3772080793052168
Sundar Ram Bohra,0.04523300872898246,32,0.06337475538586701,0.3881015623950037
Suresh Kumar Dhunggana,0.04716405565097462,32,0.07531903188094906,0.39228205916828246
Suvash Ghising,0.046753048794129434,32,0.07281828867987103,0.3914067990479051
